market_id,market_name,state,geopolitical_zone,latitude,longitude
1,Lagos (Mile 12),Lagos,South-West,6.5833,3.3833
2,Kano (Dawanau),Kano,North-West,12.0022,8.5920
3,Abuja (Wuse),FCT,North-Central,9.0579,7.4951
4,Port Harcourt,Rivers,South-South,4.8156,7.0498
5,Ibadan (Bodija),Oyo,South-West,7.4106,3.9055
6,Kaduna,Kaduna,North-West,10.5105,7.4165
7,Maiduguri,Borno,North-East,11.8311,13.1510
8,Enugu,Enugu,South-East,6.4584,7.5464
9,Jos,Plateau,North-Central,9.8965,8.8583
10,Sokoto,Sokoto,North-West,13.0059,5.2476
11,Benin City,Edo,South-South,6.3350,5.6037
12,Abakaliki,Ebonyi,South-East,6.3249,8.1137
13,Makurdi,Benue,North-Central,7.7338,8.5214
14,Owerri,Imo,South-East,5.4836,7.0333
15,Calabar,Cross River,South-South,4.9517,8.3220
